agent-action,agent-action-update,map-update,reward,sum
177,84,65,29,355
174,88,81,32,375
178,92,67,33,370
184,96,67,35,382
192,101,69,37,399
190,103,72,38,403
191,112,70,39,412
195,105,70,39,409
193,108,73,42,416
195,107,110,59,471
202,112,73,42,429
196,110,72,42,420
198,110,71,43,422
196,115,72,43,426
196,111,74,50,431
200,112,72,44,428
199,114,71,43,427
202,112,71,47,432
197,113,75,44,429
200,113,71,43,427
201,113,71,43,428
201,117,72,43,433
200,115,73,44,432
200,117,73,44,434
199,115,72,43,429
